month,S&P 500,S&P 500 TR,Nikkei 225,Nikkei 225 TR
,https://www.investing.com/indices/us-spx-500-historical-data,https://www.investing.com/indices/s-p-500-tr-historical-data,,
22-Feb,"4,372.00","9,005.37","26,476.50",
22-Jan,"4,515.55","9,469.92","27,001.98",
21-Dec,"4,766.18","9,986.70","28,791.71",
21-Nov,"4,567.00","9,558.33","27,821.76",
21-Oct,"4,605.38","9,625.02","28,892.69",
21-Sep,"4,307.54","8,994.83","29,452.66",
21-Aug,"4,522.68","9,433.58","28,089.54",
21-Jul,"4,395.26","9,155.21","27,283.59",
21-Jun,"4,297.50","8,942.78","28,791.53",
21-May,"4,204.11","8,738.77","28,860.08",
21-Apr,"4,181.17","8,678.16","28,812.63",
21-Mar,"3,972.89","8,238.48","29,178.80",
21-Feb,"3,811.15","7,892.81","28,966.01",
21-Jan,"3,714.24","7,681.01","27,663.39",
20-Dec,"3,756.07","7,759.35","27,444.17",
20-Nov,"3,621.63","7,472.06","26,433.62",
20-Oct,"3,269.96","6,734.84","22,977.13",
20-Sep,"3,363.00","6,918.83","23,185.12",
20-Aug,"3,500.31","7,192.11","23,139.76",
20-Jul,"3,271.12","6,709.81","21,710.00","36,793.09"
20-Jun,"3,100.29","6,351.67","22,288.14","36,547.19"
20-May,"3,044.31","6,227.81","21,877.89","35,827.13"
20-Apr,"2,912.43","5,944.68","20,193.69","31,693.33"
20-Mar,"2,584.59","5,269.20","18,917.01","31,254.49"
20-Feb,"2,954.22","6,011.73","21,142.96","34,304.41"
20-Jan,"3,225.52","6,551.00","23,205.18","37,623.19"
19-Dec,"3,230.78","6,553.57","23,656.62","38,352.64"
19-Nov,"3,140.98","6,361.56","23,293.91","37,701.26"
19-Oct,"3,037.56","6,138.73","22,927.04","37,104.01"
19-Sep,"2,976.74","6,008.59","21,755.84","35,207.83"
19-Aug,"2,926.46","5,898.23","20,704.37","33,262.89"
19-Jul,"2,980.38","5,993.17","21,521.53","34,549.42"
19-Jun,"2,941.76","5,908.25","21,275.92","34,152.83"
19-May,"2,752.06","5,519.27","20,601.19","32,992.94"
19-Apr,"2,945.83","5,893.81","22,258.73","35,646.44"
19-Mar,"2,834.40","5,664.46","21,205.81","33,960.15"
19-Feb,"2,784.49","5,556.49","21,385.16","33,971.97"
19-Jan,"2,704.10","5,383.63","20,773.49","32,976.92"
18-Dec,"2,506.85","4,984.22","20,014.77","31,769.86"
18-Nov,"2,760.17","5,478.91","22,351.06","35,411.41"
